Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20251219|MOBX|599539|130229|1224156|B,Q,N
20251219|MOD|213932|67|526411|B,Q,N
20251219|MODD|199143|0|310040|B,Q,N
20251219|MODG|700189|2|1338172|B,Q,N
20251219|MODL|123674|0|135023|Q
20251219|MOFG|24022|0|37419|Q,N
20251219|MOG/A|30973|200|73452|B,Q,N
20251219|MOG/B|10|0|21|Q
20251219|MOGO|3221|0|20859|Q
20251219|MOGU|3712|0|10146|Q
20251219|MOH|263839|625|697451|B,Q,N
20251219|MOLN|1167|4|2895|Q
20251219|MOMO|150034|0|483922|B,Q,N
20251219|MOO|9155|0|39948|Q
20251219|MOOD|297|0|576|Q
20251219|MORN|96022|0|167587|B,Q,N
20251219|MORT|274539|0|487069|B,Q,N
20251219|MOS|821616|10|2351423|B,Q,N
20251219|MOTG|17|0|23|Q
20251219|MOTI|1638|0|3735|Q
20251219|MOV|44337|3500|74650|B,Q,N
